place_iri,place_label,target_authority,target_iri,target_browse_url,judgment,notes
urn:voices:place:namangan-uzbekistan-ussr-generic,Namangan Uzbekistan Ussr Generic,wikidata,https://www.wikidata.org/entity/Q492552,https://www.wikidata.org/wiki/Q492552,unsure,"historical-borders slug (ussr); target country=Q265, label=Namangan; manual review needed"
urn:voices:place:national-council-of-jewish-women,National Council Of Jewish Women,wikidata,https://www.wikidata.org/entity/Q6971921,https://www.wikidata.org/wiki/Q6971921,unsure,unknown country token in slug (None)
urn:voices:place:netzer-sereni-israel,Netzer Sereni Israel,wikidata,https://www.wikidata.org/entity/Q1011505,https://www.wikidata.org/wiki/Q1011505,correct,country match (label=Netzer Sereni)
urn:voices:place:orany-vilna-poland,Orany Vilna Poland,wikidata,https://www.wikidata.org/entity/Q19973048,https://www.wikidata.org/wiki/Q19973048,incorrect,"country mismatch (slug=poland/Q36, target=Q159, label=Orany)"
urn:voices:place:piatyhory-wolyn-poland,Piatyhory Wolyn Poland,wikidata,https://www.wikidata.org/entity/Q4385814,https://www.wikidata.org/wiki/Q4385814,correct,historical successor state OK (label=P'yatyhory)
urn:voices:place:polish-camp-esslingen-germany-dp-camp,Polish Camp Esslingen Germany Dp Camp,wikidata,https://www.wikidata.org/entity/Q7210014,https://www.wikidata.org/wiki/Q7210014,correct,historical successor state OK (label=Polish campaign stars)
urn:voices:place:przytyk-radom-kielce-poland,Przytyk Radom Kielce Poland,wikidata,https://www.wikidata.org/entity/Q106454517,https://www.wikidata.org/wiki/Q106454517,unsure,Wikidata has no P17 (country) for the target
urn:voices:place:pyrenees-mountain-range,Pyrenees Mountain Range,wikidata,https://www.wikidata.org/entity/Q12431,https://www.wikidata.org/wiki/Q12431,unsure,unknown country token in slug (None)
urn:voices:place:recklinghausen-m-nster-westphalia-prussia-germany,Recklinghausen M Nster Westphalia Prussia Germany,wikidata,https://www.wikidata.org/entity/Q3050,https://www.wikidata.org/wiki/Q3050,correct,country match (label=Recklinghausen)
urn:voices:place:reichenberg-bohemia-czechoslovakia-concentration-camp,Reichenberg Bohemia Czechoslovakia Concentration Camp,wikidata,https://www.wikidata.org/entity/Q146351,https://www.wikidata.org/wiki/Q146351,correct,historical successor state OK (label=Liberec)
urn:voices:place:rulewicze-poland,Rulewicze Poland,wikidata,https://www.wikidata.org/entity/Q6531439,https://www.wikidata.org/wiki/Q6531439,correct,historical successor state OK (label=Rulievіčy)
urn:voices:place:ruma-yugoslavia,Ruma Yugoslavia,wikidata,https://www.wikidata.org/entity/Q144973,https://www.wikidata.org/wiki/Q144973,correct,historical successor state OK (label=Ruma)
urn:voices:place:rzeczyca-polesie-poland-generic,Rzeczyca Polesie Poland Generic,wikidata,https://www.wikidata.org/entity/Q909612,https://www.wikidata.org/wiki/Q909612,correct,historical successor state OK (label=Rechytsa)
urn:voices:place:sachsenhausen-brandenburg-prussia-germany,Sachsenhausen Brandenburg Prussia Germany,wikidata,https://www.wikidata.org/entity/Q151535,https://www.wikidata.org/wiki/Q151535,correct,country match (label=Sachsenhausen)
urn:voices:place:sanok-poland,Sanok Poland,wikidata,https://www.wikidata.org/entity/Q201729,https://www.wikidata.org/wiki/Q201729,correct,country match (label=Sanok)
urn:voices:place:sarny-wolyn-poland,Sarny Wolyn Poland,wikidata,https://www.wikidata.org/entity/Q997512,https://www.wikidata.org/wiki/Q997512,correct,historical successor state OK (label=Sarny)
urn:voices:place:schwarzheide-brandenburg-prussia-germany-generic,Schwarzheide Brandenburg Prussia Germany Generic,wikidata,https://www.wikidata.org/entity/Q584474,https://www.wikidata.org/wiki/Q584474,correct,country match (label=Schwarzheide)
urn:voices:place:serbia-yugoslavia-province,Serbia Yugoslavia Province,wikidata,https://www.wikidata.org/entity/Q2151772,https://www.wikidata.org/wiki/Q2151772,correct,historical successor state OK (label=Žitkovac)
urn:voices:place:sighet-crisana-maramures-romania,Sighet Crisana Maramures Romania,wikidata,https://www.wikidata.org/entity/Q334874,https://www.wikidata.org/wiki/Q334874,correct,country match (label=Sighetu Marmației)
urn:voices:place:sobrance-slovakia-czechoslovakia,Sobrance Slovakia Czechoslovakia,wikidata,https://www.wikidata.org/entity/Q241125,https://www.wikidata.org/wiki/Q241125,correct,historical successor state OK (label=Sobrance)
urn:voices:place:sorokino-russia-ussr-generic,Sorokino Russia Ussr Generic,wikidata,https://www.wikidata.org/entity/Q25610628,https://www.wikidata.org/wiki/Q25610628,correct,historical successor state OK (label=Sorokino)
urn:voices:place:sosnowiec-kielce-poland,Sosnowiec Kielce Poland,wikidata,https://www.wikidata.org/entity/Q105060,https://www.wikidata.org/wiki/Q105060,correct,country match (label=Sosnowiec)
urn:voices:place:stuttgart-germany,Stuttgart Germany,wikidata,https://www.wikidata.org/entity/Q2359473,https://www.wikidata.org/wiki/Q2359473,correct,country match (label=Stuttgart-West)
urn:voices:place:troki-poland,Troki Poland,wikidata,https://www.wikidata.org/entity/Q191015,https://www.wikidata.org/wiki/Q191015,correct,historical successor state OK (label=Trakai)
urn:voices:place:tuscany-italy-region,Tuscany Italy Region,wikidata,https://www.wikidata.org/entity/Q1273,https://www.wikidata.org/wiki/Q1273,correct,country match (label=Tuscany)
urn:voices:place:u-bardowick-germany-dp-camp,U Bardowick Germany Dp Camp,wikidata,https://www.wikidata.org/entity/Q508028,https://www.wikidata.org/wiki/Q508028,correct,country match (label=Bardowick)
urn:voices:place:u-stamsried-germany-concentration-camp,U Stamsried Germany Concentration Camp,wikidata,https://www.wikidata.org/entity/Q430752,https://www.wikidata.org/wiki/Q430752,correct,country match (label=Stamsried)
urn:voices:place:u-wolfsburg-germany-dp-camp,U Wolfsburg Germany Dp Camp,wikidata,https://www.wikidata.org/entity/Q101859,https://www.wikidata.org/wiki/Q101859,correct,country match (label=VfL Wolfsburg)
urn:voices:place:ukrainians,Ukrainians,wikidata,https://www.wikidata.org/entity/Q44806,https://www.wikidata.org/wiki/Q44806,unsure,unknown country token in slug (None)
urn:voices:place:waldorf-rhineland-prussia-germany-generic,Waldorf Rhineland Prussia Germany Generic,wikidata,https://www.wikidata.org/entity/Q106441261,https://www.wikidata.org/wiki/Q106441261,unsure,Wikidata has no P17 (country) for the target
urn:voices:place:woburn-house,Woburn House,wikidata,https://www.wikidata.org/entity/Q110996423,https://www.wikidata.org/wiki/Q110996423,unsure,unknown country token in slug (None)
urn:voices:place:world-jewish-congress,World Jewish Congress,wikidata,https://www.wikidata.org/entity/Q541010,https://www.wikidata.org/wiki/Q541010,unsure,unknown country token in slug (None)
urn:voices:place:zdzieciol-poland,Zdzieciol Poland,wikidata,https://www.wikidata.org/entity/Q1025883,https://www.wikidata.org/wiki/Q1025883,correct,historical successor state OK (label=Dzyatlava)
